,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Has Bandstructure,Crystal System
26,-0.7007,0.0378,-1.522,0.8696,-0.4685,-0.3728,0.4863,-1.089
27,-1.027,-1.409,1.673,-1.669,0.396,-1.907,0.4863,-1.089
28,-1.027,0.2173,-0.4353,0.855,-1.073,-1.746,0.4863,-1.089
29,-0.946,-0.1581,0.454,0.4763,0.09344,-1.237,0.4863,0.03653
30,-0.946,-1.6,0.1906,0.9185,-0.2091,-0.9917,-2.05,0.03653
31,-0.7007,-0.4463,-1.72,1.2705,-0.9873,0.02542,0.4863,-1.089
32,0.1984,1.349,0.2893,-0.7075,0.7417,0.1271,0.4863,1.162
34,-0.782,-0.2343,-0.4683,0.6484,-0.2957,-0.01979,0.4863,-1.089
35,-0.946,-1.562,-1.522,-1.081,-0.03622,0.322,0.4863,0.03653
36,-0.782,0.07587,-1.16,1.258,-0.2957,0.12427,-2.05,-1.089
37,0.28,-0.3267,-1.456,0.355,-0.9873,-1.04,0.4863,-1.089
38,-0.946,-1.507,-0.501,0.7217,0.6553,0.0791,0.4863,0.03653
39,-1.027,-0.1962,0.8823,-1.254,-0.6416,0.839,0.4863,-1.089
40,0.3618,0.25,-0.07294,0.6436,1.088,-0.3079,0.4863,1.162
41,0.4436,-0.02203,-1.753,0.8394,-0.2957,0.2289,0.4863,1.162
42,0.5254,0.348,0.3223,0.603,1.952,-1.37,-2.05,-1.089
43,-0.946,-1.197,-1.489,-0.1726,-0.03622,0.579,0.4863,0.03653
44,-0.864,0.881,0.3882,0.2429,-0.555,0.647,0.4863,1.162
45,-0.782,-1.469,-0.6,0.978,0.569,-0.8306,0.4863,-1.089
46,-0.946,0.9683,-0.04004,-1.7,-1.03,0.113,0.4863,0.03653
47,0.607,-0.011154,-1.687,1.215,-0.2957,0.05933,0.4863,-1.089
48,-0.7007,0.435,-1.917,0.806,-0.9873,0.6553,0.4863,-1.089
49,0.6885,-0.0002728,-0.666,0.732,-0.03622,0.2656,0.4863,-1.089
50,-0.782,0.1031,-0.2377,0.992,0.569,0.466,0.4863,-1.089
51,-0.7007,0.3044,0.09174,0.5923,-0.4685,-0.2515,0.4863,-1.089
52,-1.027,-1.121,-0.6,1.257,-0.728,-0.8022,0.4863,-1.089
53,0.7705,0.658,-0.2047,-1.004,0.3096,-1.649,0.4863,-1.089
54,0.852,-0.04922,-0.2047,-1.911,-1.073,1.766,0.4863,1.162
55,-0.946,0.957,-0.1059,-1.566,-1.03,0.2937,0.4863,0.03653
56,-0.946,0.0378,-0.2705,-0.03192,0.2664,0.2203,0.4863,0.03653
58,-0.7007,1.458,0.915,-0.5566,-1.073,0.3164,0.4863,-1.089
59,0.7705,0.9683,1.212,-0.725,-0.6416,1.94,0.4863,-1.089
60,-0.946,0.11945,0.1576,1.522,-0.944,-0.8643,0.4863,0.03653
61,0.6885,-0.7456,-0.2377,1.05,-0.728,-0.6387,0.4863,-1.089
62,0.9336,-0.7617,0.1906,1.058,0.05023,-1.721,0.4863,1.162
63,1.016,-1.263,-1.456,1.294,-0.728,-0.6895,0.4863,1.162
