,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Has Bandstructure,Crystal System
75,-1.072,-0.1635,0.454,0.2695,0.09344,-1.364,0.4863,-0.03653
76,-0.3389,1.719,1.475,-1.695,-0.03622,-0.4124,0.4863,1.089
77,0.2112,0.511,-1.456,0.785,-0.9873,0.6133,0.4863,1.089
78,-0.4307,-1.312,0.5527,1.079,1.261,-1.568,-2.05,1.089
79,1.22,-1.91,-0.1059,-0.851,2.645,-0.633,-2.05,-1.162
80,0.02786,-1.953,-0.8633,1.2,2.645,-1.107,-2.05,-1.162
81,0.3945,-0.876,0.8823,1.001,-0.728,-0.1808,0.4863,1.089
82,0.2112,-1.382,0.783,0.603,-0.4685,-0.8813,0.4863,1.089
83,0.2112,-0.566,-0.00709,-1.065,1.693,-0.2656,-2.05,1.089
84,0.02786,-1.638,0.2893,0.9883,2.47,-1.291,-2.05,-1.162
85,-0.614,1.311,0.05878,-0.6045,-0.4685,0.1384,0.4863,-1.162
86,-1.072,0.4023,1.014,-1.698,-1.03,-0.5737,-2.05,-0.03653
87,-0.3389,0.8975,-0.501,-1.911,-0.382,0.37,0.4863,1.089
88,-0.889,-0.914,1.311,-1.884,-0.1227,-0.5537,-2.05,1.089
89,1.312,0.348,0.3223,0.603,1.952,-1.37,-2.05,1.089
90,-1.072,-1.562,-1.522,-1.081,-0.03622,0.322,0.4863,-0.03653
91,-1.164,0.1412,0.586,0.6104,1.088,-0.921,0.4863,-1.162
93,-0.06384,1.082,-0.8306,-0.8306,0.05023,-0.12146,0.4863,-1.162
94,1.495,-0.0819,-0.4023,-1.002,-0.4685,1.734,0.4863,-1.162
95,-0.5225,0.658,-0.2047,-1.004,0.3096,-1.649,0.4863,1.089
96,-1.072,-0.4192,-0.4683,0.2255,-0.2091,-0.4604,0.4863,-0.03653
97,1.587,-1.225,1.08,0.3853,1.261,-1.187,-2.05,1.089
98,-0.7974,1.371,0.454,0.38,-1.203,-1.015,0.4863,-1.162
99,1.678,-1.312,0.5527,1.097,1.261,-1.734,0.4863,-1.162
